TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C,PRODUCE_SOUND_C
874.4657707060308,0.0,0.0,0.0,0.0,0.0
1758.4183612608504,0.0,0.0,0.0,0.0,0.0
1758.4183612608504,0.0,0.0,0.0,0.0,0.0
1758.4183612608504,0.0,0.0,0.0,0.0,0.0
1758.4183612608504,0.0,0.0,0.0,0.0,0.0
1758.4183612608504,0.0,0.0,0.0,0.0,0.0
1758.4183612608504,0.0,0.0,0.0,0.0,0.0
1754.90328295669,0.0,0.0,0.0,0.0,0.0
3243.449261055976,0.0,0.0,0.0,0.0,0.0
3243.449261055976,0.0,0.0,0.0,0.0,0.0
4556.671976951207,0.0,0.0,0.0,0.0,0.0
4552.115304974256,0.0,0.0,0.0,0.0,0.0
4552.115304974256,0.0,0.0,0.0,0.0,0.0
4552.115304974256,0.0,0.0,0.0,0.0,0.0
4552.115304974256,0.0,0.0,0.0,0.0,0.0
4552.115304974256,0.0,0.0,0.0,0.0,0.0
4552.115304974256,0.0,0.0,0.0,0.0,0.0
5722.6041457386045,0.0,0.0,0.0,0.0,0.0
8446.46224909457,0.0,0.0,0.0,0.0,0.0
8446.46224909457,0.0,0.0,0.0,0.0,0.0
8446.46224909457,0.0,0.0,0.0,0.0,0.0
9191.726396130309,0.0,0.0,0.0,0.0,0.0
9947.251026390635,0.0,0.0,0.0,0.0,0.0
9947.251026390635,0.0,0.0,0.0,0.0,0.0
