TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,PLACE_PHEROMONE_X
1131.4423569335675,0.0,0.0,5101.60250396103,43.902009211394756
2052.083666377615,876.8455641888067,441.1450658371402,11722.667302612841,167.530067150685
4833.696540381188,3106.4620587442105,2367.1734441132267,12481.468254705149,328.83841695887867
5951.440424155177,4271.382994940549,4147.976853080224,10311.653265942847,554.3121368121288
6602.104672897938,5393.505917189407,4749.375699512948,8140.295604296943,2225.282419665278
7341.473440448636,6069.038846234439,4990.968446582152,7323.346520020558,2386.7678947731843
7018.170328978165,6282.5886379724625,5627.516019589645,6810.481826357772,3508.5806117344046
6239.266826522902,6232.948202292682,5480.349432590108,6363.244317621067,4349.388983621539
6105.073604493467,6174.7719808511265,5651.416157924747,6292.24787411479,4593.28345809153
5739.614557724347,5663.318305798295,5528.7704247833235,5706.912145842013,4974.542144871049
5236.436911177108,5307.163730515556,5128.328105014113,5255.757033985544,5065.03540540847
4951.896348357608,4987.761378614135,4693.293757592681,5113.093010430718,4950.946243525325
4862.591350895249,4865.967153871772,4662.603939283165,5017.5741146085375,4836.757122525192
4678.641883359569,4702.1938313327855,4624.69246698769,4801.438972783644,4650.39672842222
4487.533445226122,4500.445409804982,4419.00376118881,4717.1703412759225,4427.058355939859
4313.853098029575,4320.702363314256,4253.749388788179,4383.4156189823525,4265.79109307222
4178.31716009745,4193.783501541587,4103.4471209750955,4177.404267613668,4115.518049917666
4086.131586111787,4077.7543077793484,4086.3072689836017,4401.653575363633,4051.9719183884285
4092.3913328532813,4068.551804755295,4086.3072689836017,4656.51134711939,4051.9719183884285
4113.801211444893,4068.551804755295,4086.3072689836017,4590.194973413488,4051.9719183884285
4113.801211444893,4068.551804755295,4086.3072689836017,4524.460493150371,4051.9719183884285
4113.801211444893,4068.551804755295,4086.3072689836017,4590.344498012792,4051.9719183884285
4153.160005593951,4059.348395537047,4032.2710634599675,4278.205582160796,3982.940697430181
3825.6914342587115,3873.804806513464,3722.112832995798,3832.795528418102,3797.869410433649
3757.772264467678,3627.812281593381,3576.0098841711847,3599.03626590181,3580.449600190212
3374.4772467969965,3488.550917626426,3326.351436178469,3377.1871968944383,3347.420729653491
3250.1553163481963,3249.764003756468,3225.225629027609,3535.072866409033,3220.0264040413604
3250.1553163481963,3249.665695233126,3225.225629027609,3603.0879885183535,3220.0264040413604
3250.1553163481963,3396.6888925261906,3225.225629027609,4381.611110486775,3220.0264040413604
3250.1553163481963,3488.67138012152,3225.225629027609,3588.40171139971,3179.30404266273
