TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,PLACE_PHEROMONE_X
0.0,0.0,5581.105196721132,0.0,0.0
0.0,0.0,8275.271054551848,0.0,0.0
0.0,0.0,8830.36130996488,0.0,0.0
0.0,0.0,9596.300434251889,0.0,0.0
0.0,0.0,9594.321467450209,0.0,0.0
0.0,0.0,9483.327485150545,0.0,0.0
0.0,0.0,9483.327485150545,0.0,0.0
0.0,0.0,9303.88989191158,0.0,0.0
0.0,0.0,9090.837575861551,0.0,0.0
0.0,0.0,8417.195423876736,0.0,0.0
0.0,0.0,8119.0715340997385,0.0,0.0
0.0,0.0,8119.0715340997385,0.0,0.0
0.0,0.0,8119.0715340997385,0.0,0.0
0.0,0.0,7980.992619003813,0.0,0.0
0.0,0.0,7253.821226052672,0.0,0.0
0.0,0.0,5716.131415033339,0.0,0.0
0.0,0.0,5670.11882163883,0.0,0.0
0.0,0.0,5659.503957887769,0.0,0.0
0.0,0.0,5598.289876086676,0.0,0.0
0.0,0.0,5598.289876086676,0.0,0.0
0.0,0.0,5598.289876086676,0.0,0.0
0.0,0.0,5500.278315730703,0.0,0.0
0.0,0.0,5436.208652502818,0.0,0.0
0.0,0.0,5265.295478268907,0.0,0.0
0.0,0.0,5265.4926606704375,0.0,0.0
0.0,0.0,5318.233239045387,0.0,0.0
0.0,0.0,5388.344199003474,0.0,0.0
0.0,0.0,5246.327301813369,0.0,0.0
0.0,0.0,5102.174490537693,0.0,0.0
0.0,0.0,5065.702637335165,0.0,0.0
0.0,0.0,5065.702637335165,0.0,0.0
0.0,0.0,5065.702637335165,0.0,0.0
0.0,0.0,5065.702637335165,0.0,0.0
0.0,0.0,5065.702637335165,0.0,0.0
0.0,0.0,5065.702637335165,0.0,0.0
0.0,0.0,5065.702637335165,0.0,0.0
0.0,0.0,5065.702637335165,0.0,0.0
0.0,0.0,4994.778669409721,0.0,0.0
0.0,0.0,4812.4027518871535,0.0,0.0
0.0,0.0,4812.4027518871535,0.0,0.0
0.0,0.0,4812.4027518871535,0.0,0.0
0.0,0.0,4644.604746524589,0.0,0.0
0.0,0.0,4601.070251430522,0.0,0.0
0.0,0.0,4601.070251430522,0.0,0.0
0.0,0.0,4375.229066219099,0.0,0.0
0.0,0.0,3962.382679757073,0.0,0.0
0.0,0.0,3962.382679757073,0.0,0.0
0.0,0.0,3962.382679757073,0.0,0.0
0.0,0.0,3962.382679757073,0.0,0.0
0.0,0.0,3962.382679757073,0.0,0.0
0.0,0.0,3962.382679757073,0.0,0.0
0.0,0.0,3962.382679757073,0.0,0.0
0.0,0.0,3842.251479587904,0.0,0.0
0.0,0.0,3812.2800857165666,0.0,0.0
0.0,0.0,3815.9769666704865,0.0,0.0
0.0,0.0,3815.9769666704865,0.0,0.0
0.0,0.0,3815.9769666704865,0.0,0.0
0.0,0.0,3815.9769666704865,0.0,0.0
0.0,0.0,3815.9769666704865,0.0,0.0
0.0,0.0,3815.9769666704865,0.0,0.0
0.0,0.0,3815.9769666704865,0.0,0.0
0.0,0.0,3783.0741789292924,0.0,0.0
0.0,0.0,3845.5193893226146,0.0,0.0
0.0,0.0,3905.710520740091,0.0,0.0
0.0,0.0,3936.1746852793385,0.0,0.0
0.0,0.0,3889.514873887192,0.0,0.0
0.0,0.0,3889.514873887192,0.0,0.0
