TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,PLACE_PHEROMONE_X
0.0,0.0,1757.1442336199702,32.558078356479164,0.0
445.31526681850283,205.8295150794808,7062.204440452904,437.8203025994242,0.0
719.5186098410824,651.3592249350606,9409.632526105534,437.8203025994242,0.0
1475.6452806423954,651.3592249350606,7923.067094898227,437.8203025994242,225.61970929479193
1597.3042813163906,1538.6959820592112,6470.660230060644,870.2029429286723,702.8651379900057
2227.302749194222,1882.69550837983,5328.650994634842,1862.1548436591333,702.8651379900057
2459.645716661912,1882.69550837983,5211.1311984371805,2011.2031529272263,856.7939745221836
2649.9930046681175,1882.69550837983,4859.927454975371,2604.6119376232136,1405.3080229705215
2649.9930046681175,1882.69550837983,4505.5067793080125,2773.240788394262,1511.6585673149816
2649.9930046681175,1882.69550837983,4160.3229852220575,2836.7605334742425,1511.6585673149816
2649.9930046681175,2171.924031390305,3632.244602027157,2992.577910549795,1511.6585673149816
2649.9930046681175,2212.6367639480122,3584.297586865036,3001.652838159043,1511.6585673149816
2649.9930046681175,2212.6367639480122,3425.357252306042,3001.652838159043,1511.6585673149816
2649.9930046681175,2212.6367639480122,3253.8375026620647,3014.775341071198,1511.6585673149816
2649.9930046681175,2212.6367639480122,2890.2392005046795,2841.8996260177073,1511.6585673149816
2668.7983642791673,2212.6367639480122,2895.9689605989224,2742.400287842413,1535.152322697905
2887.7544891365287,2240.472927678982,2852.769822552854,2602.3030240170374,1815.3842783615999
2320.6567191115328,2295.1615226135996,2424.4790677337432,2324.0068164450186,1874.7794397682906
2272.6862839729756,2265.6775308233073,2545.2311303227866,2273.2469597156914,1874.7794397682906
2262.308020600987,2260.2349315049714,2860.7047171221334,2265.591113519876,1907.4987209788185
2262.308020600987,2260.2349315049714,2709.342966662904,2265.591113519876,1949.4809950434685
2262.308020600987,2263.7348603088094,2455.3887800366033,2265.591113519876,1949.4809950434685
2236.9792787196184,2239.9219988093923,2338.6525135917823,2237.6265573406645,1956.320783960817
2142.888283171576,2149.6068057794546,2374.163553298277,2146.44697695737,1968.9675731555726
2083.937226794407,2077.6730066353985,2434.1247433270596,2093.519841715425,1968.9675731555726
2000.459721749422,1991.6471208984929,2227.7276494094285,2003.0411595480969,1962.0139403785054
1957.5521050051352,1956.3842883582543,2590.1811431408864,1958.9860147749214,1956.7429102387046
1901.2557113820023,1904.7088602273182,2014.0484123060585,1920.1099517291786,1898.900804633907
1845.467955424938,1845.6098092536017,1961.5111417032538,2087.931723654164,1841.57358698455
1833.6008144247858,1829.4320459953415,2372.479606261595,1881.3715291092115,1830.170709786789
1817.726343157817,1823.651254456637,1962.5668227974243,1822.7520778133232,1822.7585184121524
1815.7645874477603,1821.5830343021657,2096.518724990437,1822.7520778133232,1821.019856237855
1834.2922023614901,1821.5830343021657,2407.757856791367,1822.7520778133232,1821.019856237855
1835.1652313364825,1821.5830343021657,2498.19382619348,1822.7520778133232,1821.019856237855
1835.1652313364825,1821.5830343021657,2290.7713623228933,1822.7520778133232,1821.019856237855
2000.7436000997154,1821.5830343021657,2264.2005026076254,1822.7520778133232,1821.019856237855
2031.5808526451806,1821.5830343021657,2266.2879551106835,1822.7520778133232,1821.019856237855
2031.5808526451806,1821.5830343021657,2638.888279281993,1822.7520778133232,1821.019856237855
2031.5808526451806,1821.5830343021657,2726.2186538053456,1822.7520778133232,1821.019856237855
2031.5808526451806,1821.5830343021657,2575.3214888878288,1822.7520778133232,1821.019856237855
2031.5808526451806,1821.5830343021657,2455.5773166889817,1822.7520778133232,1821.019856237855
2029.3386984371587,1821.5830343021657,2311.701126099352,1822.7520778133232,1821.019856237855
2024.626939953135,1821.5830343021657,2179.376734882972,1822.7520778133232,1821.019856237855
2260.563462682268,1821.5830343021657,1983.7942224260116,1822.7520778133232,1821.019856237855
1977.1832695482638,1821.5830343021657,2021.738236558046,1822.7520778133232,1821.019856237855
1950.5704773356604,1821.5830343021657,2252.3941403558065,1822.7520778133232,1821.019856237855
1950.5704773356604,1821.5830343021657,2493.155070996449,1822.7520778133232,1821.019856237855
1950.5704773356604,1821.5830343021657,2544.3848277291418,1822.7520778133232,1821.019856237855
1937.0038539471316,1821.5830343021657,2411.474858694732,1822.7520778133232,1821.019856237855
1888.7296176318164,1819.9512694655948,1999.078555384352,1820.374743990653,1819.2261516794608
1947.861826888156,1781.0929979253026,1788.106933202452,1785.5712289133562,1780.9454602883523
1763.7390484032908,1758.9833759811042,1774.2991344244908,2218.61648727114,1766.3961217942692
1763.7390484032908,1758.9833759811042,2237.9557686863623,1759.9861421987866,1758.232269447688
1763.7390484032908,1758.9833759811042,2349.1774181267106,1759.9861421987866,1758.232269447688
1763.7390484032908,1758.9833759811042,2255.0344087583712,1759.9861421987866,1758.232269447688
1763.7390484032908,1758.9833759811042,2355.104092989248,1759.9861421987866,1758.232269447688
1763.7390484032908,1758.9833759811042,2399.600645017236,1759.9861421987866,1758.232269447688
1763.7390484032908,1758.9833759811042,2436.9275532172173,1759.9861421987866,1758.232269447688
1763.7390484032908,1758.9833759811042,2254.3869949740115,1759.9861421987866,1758.232269447688
1763.7390484032908,1758.9833759811042,2277.600500599906,1759.9861421987866,1758.232269447688
1763.7390484032908,1758.9833759811042,2175.957044206134,1759.9861421987866,1758.232269447688
1753.411659177975,1751.0527195322636,2051.4064784794973,1754.2092580737403,1750.340032479921
1702.608874445102,1723.0934369402173,1864.6005003637977,1704.8158498830496,1704.6795810073506
1669.1225260522579,1670.2525554734355,2245.6430515900875,1663.4235875865509,1663.911160567603
1659.0265046289257,1701.3072891028924,1877.4084447261241,1657.8948030758486,1657.6631741596716
1639.1207162871333,1640.3033180907364,1962.804384423361,1644.590494014518,1642.0817289311437
1635.9896103920591,1636.736190850157,1939.6886091160177,1640.9662125542416,1638.609941539862
