TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,PLACE_PHEROMONE_X
2744.0271999096026,2345.0826272943286,14253.185784635563,2363.51202149097,67.26087218674456
5237.813498409784,4573.296391804446,16216.149112300425,7278.933871059724,125.48557540542124
7640.122487441555,5349.463079946179,14292.500135362032,8917.56331633682,479.57167788007513
7968.671704290816,6037.461047311223,11014.100116169146,8884.189692788877,1475.1509447068083
7959.705838313703,6207.354829725576,8764.771844223775,8473.21888385485,1972.351334762278
7426.497824780535,6124.2117814714675,7957.420610384967,7591.136358982287,2145.0146794153306
7135.524589906647,6098.403424991308,7603.448325494202,7269.738253774379,2272.336519479334
6682.921604918469,5989.2169445631935,7023.508545322354,6793.538213541238,2562.463335362878
6267.601329385116,5802.779825464098,7057.824255729504,6621.422260916106,2855.845706089564
6042.834013573532,5622.0029476566915,6594.202855002951,6162.183086824241,2956.4738681999975
5537.849253409445,5422.280291985963,5747.609266452353,5609.809132979932,3229.030038133778
5166.331468374726,5119.978233283965,5527.759394860879,5174.763966166866,3229.030038133778
4929.969806602331,4981.07891527556,5304.747305603316,5015.189554608632,3483.7902612178073
4220.331968157998,4427.135134491724,5363.855640229841,4382.403451179571,3827.513859151921
4096.7105698460455,4445.6266141921615,5229.518287018239,4382.403451179571,4002.315058085749
4094.828010480889,4445.6266141921615,4981.57095123304,4401.494875719024,4002.315058085749
4094.828010480889,4445.6266141921615,5334.916018411447,4470.356960343451,4002.315058085749
4094.828010480889,4497.250615254047,5378.843853345851,4502.390323564027,4002.315058085749
4094.828010480889,4542.231719156809,5572.84187211202,4531.072894847126,4002.315058085749
4094.828010480889,4584.965757974749,5365.319219013088,4579.494009808916,4002.315058085749
4133.215973578976,4584.965757974749,5379.026665911972,4579.494009808916,4002.315058085749
4218.261975426507,4584.965757974749,5220.609186575908,4588.710908307997,4002.351039971703
4218.261975426507,4584.965757974749,5367.235750461471,4624.897450691084,4005.4189210629897
4218.261975426507,4584.965757974749,4960.263021599687,4624.897450691084,4017.706901895712
3913.8467394665686,3963.2195197689784,4552.680621622638,4062.576443582043,3985.298239551984
3820.0134413749147,3765.6227233928744,4650.096275658198,3971.296902765548,3958.4553789461947
3820.0134413749147,3737.7172712353413,4516.093940571416,3964.4600472364423,3928.1092732516563
3820.0134413749147,3777.5427775939716,4317.202183697473,3930.299293491751,3913.7828487014854
3820.0134413749147,3777.5427775939716,4966.679282831986,3930.299293491751,3913.7828487014854
3820.0134413749147,3777.5427775939716,4767.0965383487,4043.184306263977,3913.7828487014854
3820.0134413749147,3777.5427775939716,5140.533662896123,4120.282448710098,3913.7828487014854
3820.0134413749147,3728.091720385831,4506.45033416781,4068.9556525923776,3913.7828487014854
3820.0134413749147,3642.4305994296533,5093.0050620329175,3976.775635143506,3897.05613697769
3820.0134413749147,3642.4305994296533,4618.63778861572,3976.775635143506,3887.769300141928
3790.12643734234,3642.4305994296533,4775.2524275956475,3976.775635143506,3887.769300141928
3783.830627776156,3642.4305994296533,4819.236552345536,3976.775635143506,3887.769300141928
3783.830627776156,3642.4305994296533,5367.09156352426,3976.775635143506,3887.769300141928
3783.830627776156,3642.4305994296533,4917.844491471682,3987.290630021479,3887.769300141928
3783.830627776156,3642.4305994296533,5400.72294722427,4141.072430111839,3887.769300141928
3783.830627776156,3642.4305994296533,5187.6951314807,4141.072430111839,3887.769300141928
3783.830627776156,3642.4305994296533,5444.682064528338,4141.072430111839,3887.769300141928
3783.830627776156,3642.4305994296533,4718.189408973095,4141.072430111839,3887.769300141928
3783.830627776156,3642.4305994296533,5103.087546682212,4141.072430111839,3887.769300141928
3783.830627776156,3642.4305994296533,5032.085363574573,4141.072430111839,3908.803352807941
3783.830627776156,3642.4305994296533,5121.966143530472,4141.072430111839,3951.124880461244
3783.830627776156,3642.4305994296533,4815.026325307643,4141.072430111839,3951.124880461244
3783.830627776156,3642.4305994296533,4648.475956742906,4062.9207660243246,3951.124880461244
3783.830627776156,3642.4305994296533,4795.394544328097,4055.621427016918,3951.124880461244
3783.830627776156,3642.4305994296533,4490.926223031253,4043.4876791204956,3951.124880461244
3783.830627776156,3642.4305994296533,5004.717091746158,4011.86342816131,3951.124880461244
3783.830627776156,3642.4305994296533,5195.991378567855,4011.86342816131,3951.124880461244
3783.830627776156,3642.4305994296533,4812.552869756608,4011.86342816131,3951.124880461244
3783.830627776156,3642.4305994296533,5545.297137801981,4011.86342816131,3951.124880461244
3783.830627776156,3642.4305994296533,5049.865917242088,4011.86342816131,3951.124880461244
3783.830627776156,3642.4305994296533,4573.8658719607065,4011.86342816131,3951.124880461244
3783.830627776156,3642.4305994296533,4762.396427652746,4011.86342816131,3951.124880461244
3783.830627776156,3642.4305994296533,4825.059524383646,4011.86342816131,3951.124880461244
3783.830627776156,3642.4305994296533,5260.881353040728,4011.86342816131,3951.124880461244
3783.830627776156,3642.4305994296533,4581.486958482741,4011.86342816131,3951.124880461244
3783.830627776156,3642.4305994296533,4663.622941880632,4011.86342816131,3951.124880461244
3783.830627776156,3642.4305994296533,4534.114995890801,4011.86342816131,3951.124880461244
3783.830627776156,3642.4305994296533,4369.966043131664,4011.86342816131,3951.124880461244
3783.830627776156,3642.4305994296533,4207.159814740849,3978.691375790886,3951.2158888902036
3739.233508023263,3642.4305994296533,3776.0651440159913,3806.3799703690615,3904.1771168757787
3470.936560615934,3489.825551335738,3573.776566809424,3587.884946887329,3792.760161298284
3429.670104876266,3471.5402880142947,3553.5804003770954,3569.157647963642,3965.539236968673
3429.670104876266,3471.5402880142947,3553.5804003770954,3569.157647963642,4135.573379842624
