TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST
8367.903899035884,16090.535850324477,21440.328896919615,9737.700130733083
16088.344916684937,17771.214295980277,17756.65999505197,17707.880513673506
15354.977581422929,15309.073755732325,15383.29496932784,15377.009596084534
10881.658197964676,11035.021927856353,12334.999943924764,11021.686008975586
7902.185969960178,7892.333935992997,7897.768722341395,7879.260266259355
5252.416554070366,5245.357700265848,5255.412229773716,5261.672158349177
4535.5754643657365,4530.3393606444215,4552.4843572303125,4546.514161255177
3780.770864645353,3793.9284246392594,3917.5252087753342,3783.00468039566
2755.3634828119657,2768.96060426609,2864.255079477691,3070.4306713434385
2388.1979031616847,2387.8164213160053,2387.8778876635947,2399.6083730386654
2300.037793221442,2299.1434048926844,2596.7995917059475,2323.8799967799355
2187.3156331980967,2348.1681068263215,2702.0844984231308,2420.3668991478053
1919.1666752881808,1947.5818744494527,2018.62421565124,2078.908758104476
1648.7134343789046,1661.93786816778,1648.7345416088992,1721.3105901941506
1921.0122429028536,1811.7147886752648,2534.030161100254,2057.520753604035
1900.7247628125547,1904.4496991016147,1896.497719271716,1889.3120589135076
1667.6446126233259,1694.5924715345636,1855.7912109237107,1909.3054263329705
1457.1688006902837,1429.7483460807566,1525.87237453801,1520.6646355737496
1163.0796510365694,1162.1297003648526,1160.1372974216495,1162.3789347943766
1303.919976085349,1305.0935540904425,1309.1428907711816,1313.8635323062317
1565.7407425071524,1546.153508357553,1666.6406677001994,1703.7610071609558
1433.5736121069162,1360.9995006031484,2082.795501726713,1468.476723336235
1577.1886950053163,1523.5061128536097,1879.184649727459,1558.2364600016576
1049.0625047662934,1043.4949839857459,1208.3646620796246,1052.3906778244057
1754.7527800414887,1747.815500326871,2004.1266419442659,2226.244664439427
1502.3848135713017,1493.2449352020053,1497.7194793525632,1595.5086497453908
1603.0865723776394,1595.2841328404752,1663.9317464455696,1829.8808089439462
1566.347635860915,1555.1756594165706,1557.1164862403596,1581.6701711415355
1386.1377055731489,1387.0782293497255,1398.2382317726424,1511.1371769887598
1270.4429449561871,1257.3268858753388,1509.5715688498533,1358.0419999522405
1320.9797195107185,1342.3068465880185,1380.9560260276683,1498.9034502356549
1169.2217827392922,1171.075578727213,1171.5120570674876,1169.7039294984509
1153.298871797558,1153.9870071196628,1277.1934972705908,1160.6503651101607
1417.3515704209167,1344.214039066036,1951.8303392309858,1445.443149335813
2129.911018673615,1837.1122991971188,2560.823840598376,1910.5572073892868
1666.6529521164673,1656.7413627605267,1742.7409182506299,1922.4070446457893
1523.9909646068265,1518.76115766237,1520.2783811464194,1597.1223718307117
1385.923128661963,1380.9040650669756,1383.6776762941356,1400.5398714894786
1469.674157026192,1463.5905587384477,1461.5745829785822,1489.3302469949829
1563.9562594291608,1527.100097491892,1933.2711206591193,1682.776883399844
1361.1718755669153,1385.6795051288154,1522.6130336075164,1568.7046218547002
1438.6489517943646,1512.935585653348,1538.1292607351495,1542.0637138666677
1193.3986352743327,1198.0253822086775,1198.8365812822285,1216.1503574669111
1027.8037684603432,1028.2496838044071,1028.8882633295495,1025.201002284239
1160.1202728131905,1133.1733277357273,1788.3337654665777,1272.54420539062
1571.7918751117104,1571.5020125787405,1573.8134072109713,1566.1145835040693
1392.0514940976407,1381.0315170696147,1384.3825849082634,1554.4810776085433
1437.5748712591778,1444.636889895064,1499.27052073039,1541.162460191438
1376.837430152673,1300.3692218259775,1424.7026028451844,1474.8352797333519
1361.759803417027,1362.058832473828,1506.7142846010129,1357.71858175924
1529.2578553508251,1534.2060957738581,1529.8489403293631,1617.8065215078302
1147.087469128917,1144.2885569851433,1149.4472361423836,1149.222112633699
1833.5980535897324,1742.6566537310518,2024.733554068191,2103.9687807236323
1640.6679643126486,1702.0617771310558,1845.1446471666163,1655.312484121866
1246.9028566132727,1244.6022204407816,1400.8824918601306,1252.2903562850738
