TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,PLACE_PHEROMONE_X
2268.9691442017406,2784.464898240395,5177.375332875506,1672.880861845441,1673.3994052565522
6065.467614741472,4839.080365704775,6539.372426516568,4865.378823231294,5096.316428092374
4280.298485319826,4251.521335404194,4601.413765611177,4271.612364438297,4242.158749248583
3462.1284134019024,3436.703580758812,3549.011618588473,3423.550801096997,3422.9086751901423
2870.645076147036,2878.151429744785,3100.1570299138693,2872.4488595258845,2849.578809015243
2509.0563447493473,2503.6148277809443,2728.4958756724536,2517.2446814453247,2510.7153971792377
2256.583850804459,2279.8169014807913,2502.021279334299,2299.209697040492,2237.7226169415235
2237.7639341738713,2261.009978620457,2575.046899010079,2273.8910973781553,2248.048001434273
2233.541798768341,2207.7296591163454,2410.680457101648,2171.2124482863173,2148.9150132491286
2159.053041320535,2202.734529320953,2348.5955344985077,2173.7847405101556,2145.3600196355997
2011.2290373731178,2008.349227710527,2278.5114657538297,2033.2738642589466,2005.1369944817448
1961.803209674004,2013.6903696447157,2192.86305502922,2010.242012722995,1982.0579344621674
1935.5506923909709,1937.768314988783,2179.8166878943402,1941.3174797132785,1941.322439072267
1997.5845452241306,1942.3078856681063,2188.3929766426045,2011.6301780248707,1954.0662256246937
1942.8587863649918,1917.0625629826104,2150.5239481034805,1955.2199657818874,1944.9114590800154
1887.0980488591265,1896.0839717657675,2262.3683334239963,1844.311024898482,1858.266097653922
2102.7513474581797,2049.0914599343278,2349.6799202653365,2083.854880265499,2069.324121495695
1981.1386320882887,1975.3720921249346,2156.6571699826636,1980.8496553565865,1973.134289138577
1891.3146865327744,1894.117025111652,2086.0504013610075,1897.1934366981902,1892.3887758777548
1781.6094642406144,1812.2157758487085,2139.7110849281726,1775.8015435498235,1770.1597136835521
1777.4867416144702,1736.3960259325709,2055.3685999308304,1740.2792271910341,1729.4314817060447
1722.6205554880423,1721.055627552331,2089.2763000207656,1728.856192981737,1705.821506672502
1737.0946787754585,1742.655547908287,2087.861613364104,1795.8871811792087,1741.6030272271514
1752.2985265572024,1790.6013619751056,2139.123737133947,1823.8628538447397,1800.2942923124842
1783.8345630341823,1734.5348939071685,2047.4540994480076,1733.0561438358661,1684.9766994423487
1718.748368250866,1741.7517287475612,1934.728976303051,1702.03737575526,1693.2153552659977
1625.6010820056376,1638.7805159655843,1883.6589615035093,1640.10841005789,1611.675448780007
1571.0328902667702,1504.3183418750386,1914.11252789175,1518.8643148355366,1513.8008907809624
1482.7009067461618,1517.6937387492467,2282.941069297152,1662.1393218232242,1578.0563866343387
1482.7009067461618,1620.3197742919092,2031.3660940954128,1649.6222055489716,1630.611514875394
