TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,PLACE_PHEROMONE_X
4938.188689141683,8254.657520287463,5947.654256383723,18208.317833280253,11764.372241304834
9914.394422834439,10946.1353772273,11459.063908580398,12761.986628711235,12530.124684290855
8641.363739537986,8709.497274666028,8748.134749772644,8896.402671232685,8854.596262922454
6972.2415093158,6942.174600808441,6893.502084488487,7095.611537763942,7081.269863509631
6136.648268213834,6103.531592347098,6219.466285906356,6298.772994441491,6253.380587076765
5804.975949016744,5927.379330442629,5946.253061819179,5929.936615978528,5952.0523834791775
5515.185304523759,5523.981528648747,5418.0300978270525,5627.547617293111,5528.567200607592
5379.866494804791,5377.488646380764,5287.166697483489,5496.483723601953,5487.858006329042
5179.1443354572275,5203.190167300688,5249.258647589138,5711.940783705723,5387.364412259002
4786.471985269963,5035.299279234372,5148.00457644143,5601.247347338432,5272.584237578375
4809.025714210802,4705.010635024732,5078.465688839377,5577.803037521321,5196.016397030539
4678.6413242400995,4437.958025425488,5080.921189716045,5660.6882160342475,5197.177239216044
4647.25848099653,4546.886080110962,4908.974816324743,5547.800115968423,5163.765191741382
4515.9809644775705,4476.341024094785,4919.859415818384,5889.3520422651545,5127.246293527635
4501.069709817288,4463.412146557532,4919.859415818384,5716.311281197454,5140.510999210823
4341.927397730716,4412.703037512771,4983.65336600257,6034.135669797072,5226.280466166747
4124.7910366678,4348.104300564011,4968.3215887549395,5352.693280226745,5182.3832563957485
4124.7910366678,4387.357932308303,4859.091696356445,5026.994995760613,4967.402017183531
4124.7910366678,4387.357932308303,4859.091696356445,5050.429049154781,4959.850084642593
4124.7910366678,4387.357932308303,4859.091696356445,5050.567343564129,4959.850084642593
4124.7910366678,4387.357932308303,4859.091696356445,5050.567343564129,4959.850084642593
4124.7910366678,4387.357932308303,4859.091696356445,5050.567343564129,4959.850084642593
4124.7910366678,4387.357932308303,4859.091696356445,5035.723221717248,4959.850084642593
4179.382161698962,4387.357932308303,4859.091696356445,5123.913352087347,4959.850084642593
4188.4912992479185,4387.357932308303,4859.091696356445,5267.535097407603,4959.850084642593
4188.4912992479185,4387.357932308303,4859.091696356445,5725.027090159139,4959.850084642593
4230.008053120865,4387.357932308303,4859.091696356445,5592.810438788976,4959.850084642593
4216.129428337026,4387.357932308303,4859.091696356445,5811.9048691854905,4959.850084642593
4154.728070703824,4387.357932308303,4859.091696356445,5809.041309507375,4945.3488971061315
4154.728070703824,4387.357932308303,4859.091696356445,5797.87713817626,4913.082091685706
4154.728070703824,4387.357932308303,4859.091696356445,5837.524401429897,4913.082091685706
4154.728070703824,4387.357932308303,4859.091696356445,5991.604625807438,4913.082091685706
4154.728070703824,4387.357932308303,4859.091696356445,5769.090049122628,4913.082091685706
4154.728070703824,4387.357932308303,4859.091696356445,5953.389840424961,4913.082091685706
4105.37103425898,4387.357932308303,4859.091696356445,5957.493844089876,4913.082091685706
4015.301414079971,4387.357932308303,4859.091696356445,5639.875169611606,4913.082091685706
4015.301414079971,4387.357932308303,4859.091696356445,5635.22751838399,4921.168824908999
4015.301414079971,4387.357932308303,4859.091696356445,5809.561121231034,5062.836410635595
3988.716943657199,4387.357932308303,4859.091696356445,5465.889889159054,5062.836410635595
3983.7284088272727,4387.357932308303,4685.820112569923,5646.62787456352,5038.158659655433
3983.7284088272727,4390.792926312715,4676.508362545568,5603.745511990734,4939.348514911522
3983.7284088272727,4446.581966867139,4676.508362545568,5572.371248591043,4934.948172624117
3983.7284088272727,4446.581966867139,4676.508362545568,6220.1410071879245,4934.948172624117
3983.7284088272727,4446.581966867139,4676.508362545568,5942.570156539986,4934.948172624117
3983.7284088272727,4446.581966867139,4676.508362545568,5788.878288273445,4934.948172624117
3983.7284088272727,4446.581966867139,4676.508362545568,5675.764003306442,4934.948172624117
