TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C
19355.274865961925,2864.7506544217417,6292.141982198157,4183.3978603946325,2475.9912351520707
13241.685994598118,9628.141375074998,12009.849107664275,9773.926584650326,8267.177091942005
12565.21867585471,11074.892756885221,11567.208154927725,11132.015440985335,10609.340297721661
12842.393446926495,11140.5992522657,11330.501464634171,11121.763849481813,11224.092558436407
12926.388064865916,11753.202801312582,11790.733423287957,11887.058767192453,12028.581432147132
12893.453096956382,11802.364152361579,11772.15212383609,11677.374703634765,11859.228253033907
11997.561535917703,12980.59729878669,11639.170314255007,11778.686541177653,11720.1726328655
12357.334717746797,11790.337150369327,11723.661304483756,11763.07641409654,11873.12744061872
12706.771546452037,11759.724839769018,11933.632223253413,11825.48994209635,12070.602291844696
11885.122714170713,12212.358406097563,11786.292093880686,11866.55470697511,11829.482149818657
12460.712476248662,12074.731264297652,11524.07666285005,11527.988749542828,11501.691542722592
11842.278463990642,12686.09133391495,11760.060387515934,11974.150757041465,11786.284341491202
12361.18238619435,12367.352478585997,11772.207353692176,11853.260380437168,11872.285981851077
11860.754777216809,12805.068096570814,11945.650707900462,11904.00032625178,12114.674421662963
12873.069467895873,11690.968904067997,11546.32813941264,11580.017346282573,11684.31259508079
12085.276301915204,12657.97252640978,11572.858169315361,11736.284450661318,11759.946269441845
13332.351707535669,12293.45579578467,12281.9427554683,12189.184247291654,12373.625324226581
12636.351073813883,12425.334029133453,12137.846103260026,12165.688473322649,12176.753802324223
11489.321387625061,12844.94338263286,11566.526123981215,11641.612484944011,11640.866928644738
11639.444990372473,13392.118496840325,11541.989430511638,11728.806352904732,11614.553708700258
12218.678756732128,12269.629420591475,11766.239608600963,11890.570264318603,11797.339516047889
12939.888044428439,11274.780935617517,11094.858659818943,11393.509233711133,11447.677864386504
11399.857083509503,12459.279636574049,11168.000320679817,11194.702923726398,11269.148657996044
13208.987386289658,11931.728161798539,11673.198699334574,11793.545969623905,11986.530001455832
12397.250927669587,12174.582699111099,11780.094237276187,11774.816498654394,11749.224004843007
11538.839324195831,12737.409501624943,11591.312093093944,11514.997245979013,11523.72284127365
11899.129332124336,12815.019996954481,11680.791795603109,11946.212760949853,11667.972357014034
11546.449496274845,12307.236364926357,11511.869620887508,11517.850053682623,11529.492564417227
12367.082883789195,11484.326259891746,11309.139640952593,11441.813759164152,11400.152930131602
11570.598869083318,13571.919087517519,11540.670570708782,11523.778927781234,11827.539166640216
11544.196759885788,12861.310372362228,11600.70994464533,11589.461161657042,11609.379944745988
11647.211243382393,12925.435874896497,11487.985036684357,11703.025693639684,11677.42010449202
13118.524056917136,11671.902340738417,11409.787284101763,11719.519543797329,11595.513261504422
11977.356858601159,12712.851693625815,11680.006828578023,12060.93740061125,11811.405376589508
12313.656806768837,12316.24121868351,11811.758815627069,11761.132151728503,11751.845871795183
12448.427365684818,11579.15411418375,11559.821486473204,11638.4258297498,11544.68226680886
11456.966309098223,12705.816879612637,11246.986274986073,11239.967540155583,11369.881979742642
12795.529961216813,12121.476077118878,11778.445645368682,11973.197856541658,12074.859723047377
12741.096659065423,12596.333345193536,12001.369774047012,12212.876452236927,12138.596782237215
12665.981653097893,11773.780922327947,11670.518329853758,11857.134478375769,11774.603068279139
12468.117710530109,11939.73824763626,11519.579899744107,11390.369207746542,11663.08076746098
11971.831905409228,12195.146062662689,11408.324511511466,11507.824693941846,11446.312033443353
12778.964450590322,11827.955275592885,11750.477420487174,11876.046989452687,11707.642898526612
