TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C
13039.045439676991,10422.102988609247,12254.694673447666,7805.612393444614,9460.181060487792
14010.707147721554,14073.663892175951,15737.303680695679,13606.292419744594,14333.818710430858
13384.267355764772,13359.698536321155,14986.544364461794,13568.122987650888,13356.215024134406
11695.414478541035,11734.444955374878,13283.085713275881,12264.554397089567,12283.699296332961
13324.743304440195,12964.70436025516,15115.04816397755,13834.450113401312,13733.483097036813
14032.297800517903,13610.309793506298,15354.782462030096,14340.59059662587,14187.586012871245
14233.181250150397,14087.97321134423,15355.817495915295,14362.708010950353,14412.131541190683
13912.30301544267,13699.490426358016,14843.377063271473,13985.407120884873,13978.944238014019
14346.246870780216,14022.28192583058,15860.282445676785,14619.492134303971,14584.310545270726
13795.130137262244,14076.965510790942,15618.165608262514,14482.764487130959,14494.426385925102
13775.33128038612,13841.93672619905,15709.821499837186,14574.58208190271,14562.830329617147
13419.076734803119,13698.95132590986,14832.893178043612,13797.859529718753,13851.26310606263
13662.118880481312,13757.597020831594,15274.068026889021,14299.166486700073,14335.94037003386
13522.494197801707,14209.86054679342,15457.906166011562,14495.77715834227,14508.254808117556
13862.053074428239,14181.966428759672,16113.320851626775,14563.185947833179,14451.654119943974
13597.95829446185,13872.193358960914,15699.643308386274,14374.11124849685,14281.37518854972
14401.927691201945,14586.360782018037,16318.367012150491,14771.282993892144,14278.61140004041
14939.960468738258,14791.634721653514,16275.369209957222,14954.060264015774,15079.512864927836
14940.171675674894,14674.597497876846,16553.467600860033,15422.243297295758,15578.17886718604
14880.650687825557,14969.066707667054,16251.35437191667,15129.75410162316,15121.502631211333
14507.99605164468,14314.24852092663,15766.722743213486,14786.906573594797,14878.801697718964
14089.375376271768,13911.409439818144,16081.743351441031,14395.691789577637,14552.766827232846
14192.524101920815,13609.019467505812,15371.962997017681,14400.502683706894,14360.29141351999
14075.253717836305,14109.303744644238,15294.404018369672,14323.899543763588,14365.980907531073
13889.764424115476,14215.510736165783,15537.468295161309,14382.917174933464,14451.103255462134
14152.834804288452,14586.970428410972,15670.913912603291,14618.810695487371,14689.863603536669
14220.85224918202,14252.860133876831,15708.892194315133,14540.956667012717,14645.969126500488
14463.34464205071,14527.65035809812,16170.32875961719,14600.358065149905,14941.202390100421
14659.326166129862,14560.293997630217,16049.554248484534,14754.976010698107,14778.352348531711
13694.321348934322,14395.113794465089,15791.253478133076,14455.859595139544,14514.34905997683
13938.33117914491,14013.614979476486,15496.534908861786,14437.018485619928,14366.374463216616
15085.67523781862,15355.163323501434,16519.76022439508,15256.613331554607,15341.01690741666
13532.302655111864,13289.614256979892,15352.98591452149,13622.132543465523,13605.219541041588
14445.849495330842,14045.247683220641,15961.726220863888,14706.711518883702,14907.030452600275
14954.959665977996,14950.216449515165,16401.84602767437,15189.07731164342,15180.35727839326
14774.80628058233,14532.82143363519,16133.318543752392,14827.621335149453,14782.397647333682
14821.70840610695,15496.422185304547,16811.61880441607,15647.341101598786,15672.242326477653
14870.970696425005,14120.70078292253,15949.552968384462,14990.277855165412,14926.916466111663
14189.074960072834,14126.518501176792,15408.041327631488,14300.921873762782,14302.434703492128
14498.987940267938,13844.692933877766,15988.749800931475,14710.706005683049,14571.52070539443
15378.434404060703,15165.99305221954,17406.463658229768,15847.877720984428,15914.547695719953
14226.869069601196,14624.095558510517,15843.591000919429,14889.168237826825,14759.705352356577
13979.411042134345,14052.266065309987,15473.551120764805,14397.740992156303,14375.700607643274
