TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST
15310.642254820033,14901.110634551742,18033.40378210933,14761.479043171057
13187.64595020008,13106.724703002283,14470.135154353986,13341.959561831134
12710.30055301343,12633.80064676011,13846.637395799016,12982.935027265412
13188.627096361206,13302.5383933747,14490.01699719892,13428.094292646765
12889.458575589471,12736.175723638442,14178.863243184114,12903.891246828438
13087.875938864983,12886.22474836295,14143.606157719438,13196.427270282533
12747.286386157113,12754.405116053822,14009.67037639053,13014.627727587627
12796.605019378856,12685.347197012374,13911.88932237873,12936.327773645016
12912.42570979551,12670.093090022754,14242.406573116774,13047.866532017073
12835.466448996618,12696.31168204518,14039.574874012074,13026.284971293893
13038.177903116492,12955.651571781522,14287.095090349787,13203.076422253054
13082.53185065616,13236.106541063178,14139.361436665851,13338.39135758207
12484.22923937084,12664.83251809027,13932.7070250595,12744.15525294252
12632.829457827293,12496.47192470504,13811.737341247339,12817.009232511326
12674.628387919553,12853.946741140464,14066.851441414177,12879.847090791205
13131.59399782702,13267.538611734275,14367.942437433556,13408.681266657517
12868.002606428805,13064.327007273925,14133.156368794658,13220.565506755796
12549.314582496569,12432.047343055032,13682.93586369083,12756.02272832387
13183.901718948191,13097.088241167385,14384.127548697481,13321.761474905887
12961.65740238853,13035.548071463516,14199.96824846695,13191.204420036087
12798.512104113024,12620.068317426216,13902.97875208997,12898.882407571207
13034.216186519307,12836.32281604944,14192.259004402902,13151.77210876096
12815.368915011526,13025.16867073768,14339.389823655174,13139.229924214593
12492.944896943385,12627.857267588894,13758.521781949063,12681.79247761113
12859.644403765113,12823.059460068176,14215.839813820447,13092.553556934761
13289.911498403992,13296.334430287394,14778.693829871272,13536.823211150731
12901.267623364736,12785.329698349387,13945.666390803604,13079.95041492771
12906.423637019538,12697.264468149837,14224.62039451704,13083.378836517988
12954.682908315508,12895.278917517548,14087.517605908615,13126.480088962124
12901.145269429528,12717.898590620025,13966.762940477465,13090.12080532238
12928.990217132266,12694.497201019904,14037.668739774708,13058.434563429773
12931.132829734612,12994.368700764717,14270.73931694453,13156.012119840001
13043.393560981769,13190.190065817636,14292.868472486765,13266.401228900277
12581.823751773183,12342.322631621553,13851.635655005122,12769.010011009725
12991.083833702467,12872.145720397315,14117.455649510843,13168.851599524876
12798.777155610804,12511.51758896172,14056.86103660988,13020.634463102331
13476.410431137296,13481.299201969743,14640.124935162496,13635.798155618666
12754.540681951556,12841.991036398273,14156.890625477627,13065.898624841284
13007.682312363091,12878.50094914905,14265.959162426996,13253.156152945843
13397.57259687225,13195.892861973296,14442.347156880549,13548.380181597266
12395.288958934456,12509.91588517696,13649.81569689789,12680.337277695467
13116.964110455148,13094.709025522066,14296.843431775365,13294.053942952103
12881.943099381759,12749.95056926258,13929.636687819186,12998.633234824658
13129.23538711067,13167.763077804284,14352.729363359671,13322.053621989415
13001.904836118838,12909.858439044974,14126.994418529173,13128.361024709347
12930.476632043068,12977.842803373664,14328.717715838491,13193.881861230206
12870.57892031972,12983.396254315767,14177.610902281962,13143.724334318118
12631.150943492628,12794.333279356966,13983.416180894994,12852.101601674796
12954.310408469228,13035.77259070264,14435.736745602628,13244.539437092986
13259.4144242888,13236.584982265493,14491.890476566505,13508.419572790759
13150.628543489784,12973.160704686943,14387.776639959973,13288.115223633533
