TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C
16830.824373809755,15707.078845301054,15645.294289300633,19796.916936757054,16798.04742458124
14458.27917479213,14303.973944137586,14218.170117163269,15764.412038353692,14587.423082613483
13560.44964234389,13543.061632567345,13349.444819172984,14547.13213527564,14077.775301400558
14334.914768797915,14309.119311244449,14113.72834625991,15363.787658240233,14543.185382886573
13858.111484012075,13981.558552691791,13577.028141308961,14869.746666881272,14261.875477579699
14029.850706969744,13732.419368901885,13787.006800937033,15341.430399587945,14330.622874383365
14489.420207158715,14460.320684577173,14083.435185820565,15612.958656377432,14710.092717763571
13715.385112507487,13599.579883266904,13448.121344405114,15135.680716602186,13979.253960314863
15079.97735908603,14954.674525364553,14841.254943388281,16368.45595961506,15324.160894514107
14705.522384627297,14647.77148791709,14370.727776247299,15783.031482837974,15017.093941965806
14313.029357506146,14098.86578977266,14235.226155010734,15569.569089136156,14445.394526265809
14378.261588773463,14262.85008733876,14151.605325855176,15475.902315584392,14590.676724159237
13836.312590782616,13921.112811516323,13715.94152703098,15005.015665273893,14233.785910603521
14095.50158006996,13920.620400139213,13769.22165035327,15363.042792039165,14512.993747319053
14325.971708162762,14304.64709557319,14023.278940611306,15535.76638033605,14510.605198541884
14202.210380955132,14305.175841254897,14068.239251738001,15399.592215478426,14601.375369067811
13715.407421068752,13653.052756462637,13670.669520354193,14895.354595621535,14104.508904148635
13935.50231295397,14077.451625342548,13950.041214101886,15435.584328574438,14317.271599680449
14181.858015340915,13969.048060453008,14114.122036337392,15148.934192587602,14717.179619033552
14222.471172663072,14320.59174771859,14108.047890937789,15426.137422768837,14775.278963778941
14173.535181312562,14126.727815045399,13901.95717763521,15357.98405626092,14493.229162528138
13929.854426633874,13964.563587928089,13799.226053682507,15349.29931999356,14437.835583704213
14097.234073488718,14244.055209902155,13983.132385819392,15558.167622918078,14547.995929660787
