TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST
13065.348482738873,13309.579263628637,14453.268982717085,13415.563626383579
12776.300786734446,12898.550441039315,14185.394599411786,13040.020564572469
12479.05800225542,12368.67569347333,13744.71805882717,12731.029324408119
13191.467659507274,13323.882362699262,14531.621862583079,13529.504401761975
13048.863177765674,13108.51774416667,14248.697583152642,13292.402458490837
12976.22981483747,13176.238568810959,14401.72211508533,13214.023801953424
12664.521003449328,12959.733889373509,14129.32649159278,13109.75063601109
12872.822100196285,13256.829012261918,14350.96707331496,13294.11083483971
12902.510015468151,13129.980533303004,14202.416283243527,13179.580704196585
12924.609579777372,12807.084223016669,14172.837595673385,13144.773276165417
12819.269368306772,12878.790495928277,13865.138962440044,13029.248630793521
12768.917800012603,12663.345383515427,13925.773653307933,12997.246187031922
12967.697271934903,12998.145827352779,14235.118230468102,13135.029283354477
13152.40402868843,13223.677618920297,14533.956565196168,13427.863836762317
12893.8026934792,12794.63365702066,14089.647603230438,13042.191123334038
13071.95033985923,12939.209491297148,14166.88268256684,13172.780562593383
12734.372986796126,12849.847950169158,13925.779256278109,12982.371913668318
12877.781435085024,12787.374601163046,14294.636138269458,13121.431297545394
13098.17796061611,13085.119168497387,14276.71040892384,13271.431489993729
12634.461999061195,12809.430783710835,13979.70596864498,12888.828614812926
12556.224173320637,12747.284219764964,13902.31529355828,12781.783091299849
12939.163416986692,12997.012501297,14215.708539613817,13148.351272534494
13338.110454953507,13048.774812981193,14538.57683363658,13458.863338597448
12592.770759272129,12687.088158725917,13920.17190517428,12837.087480598939
12711.232336321715,12881.3304583435,13877.342862201785,13042.53815105027
12843.919354757732,13032.361073014634,14086.302512283326,13167.591333637249
13002.553766308,12920.942547638657,14212.2192442073,13019.70172072693
12749.133220121035,12780.275549353366,13902.474770272032,12948.893480697248
12758.607389801038,12955.038495562265,14026.453821232066,13077.904955754779
13125.782427500959,13239.626979558432,14328.485057235115,13331.648916301465
12850.26615857076,12829.819603611508,13998.497060969297,13036.566926076062
12994.172365013746,12934.786708374242,14223.954102843505,13117.051049190235
12947.864433928486,12922.192819202017,14154.236105007105,13144.080159396999
12512.521863888654,12638.824142246318,13627.57793816282,12799.428472822616
12858.068129161364,13022.149955823348,14273.352150310788,13188.487114405165
12757.912038569228,12903.01356423418,14010.424585416606,13123.818820771778
12767.760487506126,12769.712527759913,14016.402733770494,12987.872512388034
13042.499803814882,12962.217088188563,14420.032588851225,13217.825925722234
13151.940195288957,12870.326118708539,14257.126919938717,13170.529123370772
13038.048205876545,12912.23832259204,14152.713199140124,13188.866947320386
12819.896008952237,12831.379288790102,14092.09505556558,13015.223430803684
13196.412591662578,12955.312696049801,14125.09100537593,13272.9225694056
12675.75578459893,12991.168028244982,14116.902268401767,13063.357092465161
13056.020332438216,13182.036131321962,14484.452101735656,13178.294474429065
12829.0665384299,13030.457031942771,14144.631936367114,13039.648080487374
12943.992745929618,13074.724328291022,14205.740344657886,13050.2582690945
12860.290039676982,12741.086084870949,14094.273690681708,13031.554467714848
13130.538752409346,13042.523377238107,14472.630426086229,13278.116592315942
13026.296479301609,13038.397859493147,14132.739768973132,13237.252420971878
12902.417263112702,12769.87728350189,14328.61271812658,13075.825705701924
13365.762672773239,13196.969590042023,14445.934201348366,13354.60163684636
13000.751771974443,12843.290838411482,14408.25222444225,13104.397382381318
13050.99233835347,13121.411661622587,14100.792966787069,13210.25395763667
12508.95739376217,12621.106752906167,13772.444898773047,12792.85389360138
13129.561199079286,13004.915216034564,14295.453424249263,13236.768790095435
12654.618902210428,12589.427499838639,13987.907615111859,12920.93159515718
13011.969382793455,13212.878246818576,14436.991052479441,13374.632426682228
13109.1850130175,13044.382459304186,14587.781124240119,13211.47467916869
12955.134999354497,12760.08529683732,14176.987598249965,13124.19678168396
13043.528040723893,13135.564085868727,14371.793659853618,13307.720817313817
13055.763262840022,12793.436190248529,14026.065473130138,13090.779114779818
12810.766704389851,12971.16400349723,14164.590680671095,13079.326675817147
12626.529404693418,12908.84024133637,13888.756346387281,12892.279557561395
12778.733203376269,12880.046763753497,14260.817389211445,13072.404169548125
13060.346817633268,12964.914985669879,14471.028417086301,13253.445892612504
13246.062956725975,13234.083653890986,14375.021161452562,13341.382913688023
12969.006491283995,12788.325585022387,14142.02005707189,13023.414530409327
12703.154463939509,12729.077024575618,13590.594650806188,12863.507499901163
13231.200516660436,13508.537240727032,14807.7872911759,13591.452786852064
12680.08073554012,12765.971101658872,13732.80622457792,12920.083882813567
12844.78032933802,12930.258630246288,14096.773508668264,13124.391636287315
12931.698361390207,13003.59225597789,14027.70979710745,13244.735772974971
12924.031625752323,12806.769535020934,14089.941795432893,13108.65487618849
13079.077564527588,13118.957057707876,14258.577249710439,13228.387317986855
12793.395938800417,12916.805757181406,14159.438436905073,13004.183760059486
12856.711618859672,12879.849464126728,14180.523923061943,13083.150116348283
12793.533918742405,12856.009457047356,14034.018114138475,12950.323161632785
13116.224436564979,13343.196147422019,14437.012159336055,13462.813755276957
12557.40927710864,12555.032223904263,13923.360942078842,12917.713824553972
13067.443795804209,12951.086635240474,14108.746431975826,13163.83434244926
12752.156827504747,12959.512576260118,14331.860783819122,13138.595599979571
12791.63037462352,12915.07822613437,14046.236807054935,13029.35299092722
12791.956619190138,12911.763976710348,14016.507800146239,13064.019562570766
12625.591755294521,12690.930659092048,14069.433828101333,12934.761286335684
13406.330868853143,13459.782925684005,14732.06464072991,13636.328197576157
12778.391982822945,12775.570848995409,14075.489755792363,12901.108642668958
12839.378192387148,12837.755316288034,14111.003113752375,13059.018842633937
12974.108794353362,13067.465948061326,14060.767947357568,13189.865273018362
12853.604782843619,12955.55390523426,14397.679515142023,13183.087111521772
12917.428410984692,13189.940642077892,14097.465175476083,13241.154358956288
12674.87027245864,12625.623340036957,13876.85392747316,12834.138131064776
12906.36736224285,12878.665242734816,14153.725304937572,13036.342344701454
12774.612007588064,12906.403466814785,14208.354382015272,13136.401713747824
13457.1426716825,13522.384250079705,14716.361465800084,13619.704710282796
12554.511818217334,12685.526321956671,13806.807123780505,12833.86003788173
13372.727170626033,13363.771962833287,14607.54559264613,13550.214515276433
12693.924788524446,12670.131402019195,14236.75505654567,12868.562177317935
12921.626536888307,13112.060022928174,14233.199318142168,13141.168118471138
12931.958620378135,13111.1063248538,14200.283997867971,13167.538202815278
