TURN_RIGHT,TURN_LEFT,MOVE_FORWARD,COLLECT_DUST,COLLECT_DUST_AND_PRODUCE_SOUND_C
1476.3636665401184,907.2547766219704,8426.225461865673,1450.9067592056642,305.7238658101608
3834.083946925003,3414.9384412383547,11591.018726917575,5071.297724028763,1052.404526801321
5198.915365645279,4749.060887867596,10916.083289350285,6263.159630323539,2266.061192848293
7139.360012097301,6366.466671360487,11302.100962116214,7699.469904066378,4691.6648537312585
8026.284922495433,7324.52305699935,11272.962138056906,8612.19963323356,5181.315197029626
8753.55988618563,7819.826126176868,10794.394131502742,9275.502444493364,6049.339726971305
8949.242705398376,8568.026131207935,10666.375490892555,9732.042187661757,7140.225854826738
9330.969284763192,8954.277352935782,11264.142482684525,10130.130720249535,7854.350571987376
9875.07873213448,9363.678340956203,10793.120503291317,10249.4886467535,8673.607215986565
10023.996977538838,9777.310930051864,11082.826438841352,10499.786470175084,9410.526922224379
10169.831865170308,10048.661645786762,10931.69685208559,10487.09308841594,9651.098760730818
10121.508594370624,9980.563354081502,10217.35262656444,9972.071852913143,9829.642763641268
9859.844806672008,9859.128380368862,10538.7567419566,9943.771377583698,9912.215060339387
10030.31064586924,10037.316865563873,11144.578699441541,10057.827127880588,9980.156290980398
10460.645715753171,10078.37559579007,11084.857063638066,10182.71999269155,10283.084439359684
10599.029753462559,10277.575801555244,11044.542093414833,10260.899395637227,10390.099725854378
10475.824525628328,10529.793732539329,11146.390219731835,10410.452611651104,10430.35716685658
10549.523275097668,10599.537023043255,11237.986204130171,10576.50268434675,10545.770713939097
10874.649632833101,10599.537023043255,11097.955911966037,10579.716902262959,10677.737624707719
10824.299621331838,10303.941878349571,10385.058088279764,10347.42625584181,10379.47451671884
10807.153409612418,10108.545160606027,10191.69954652103,10187.308790896965,10177.181712830525
10450.553157769355,10332.52778706789,10220.001226244414,10147.739080676469,10162.725582843603
10499.265628935533,10569.347290634061,12509.373810967902,10393.80251791712,10142.800513456572
11377.520363730095,11251.95146711421,12720.405963333695,10968.28058265237,10708.42508879681
11496.459937067915,11543.53742614572,12241.829146692366,11367.982341262308,11324.577813914548
11633.067955352422,11650.91689910037,12656.741477344374,11760.479988202667,11430.165738345533
11793.299825610537,11706.08813501762,13089.769020569587,11964.456812043521,11608.88469553192
11963.397511134517,11947.970807867114,13257.83802665179,12034.970627215283,12022.243283037778
12178.874017406692,12306.60334779667,13317.918024067263,12355.582343359822,12491.442211047408
12326.951601061155,12522.851926711252,13545.856070078133,12502.86252283371,12710.165270308102
12351.070517676275,12509.333218505997,12934.039362965508,12445.312928146084,12576.958650895473
12175.086486658145,12310.204644684361,12967.229109740949,12339.946941141287,12355.474484843722
12131.097743765358,12282.33492453075,12544.413225960085,12214.216323779026,12205.928596552098
12210.310585739184,12412.808604304033,13756.018166914568,12693.867960144487,12413.813001713115
12644.453667905085,12832.989041222016,13818.743599619816,12907.169659395533,12777.785622931657
12728.61330244164,12899.480853290268,14660.344519907538,13114.291449862218,13169.6527916031
13077.236506229461,13231.176565588952,14362.392749734801,13642.532276900953,13709.219566191789
13005.220259539192,13010.5923157159,14373.137583620854,13093.786633026659,13137.743983892828
12617.719992896515,12583.998389671586,12807.818036827528,12599.140864767023,12622.741841314823
12172.367364472619,12214.290936763387,13282.690486205987,12264.110344352523,12265.925306920526
12803.14130827829,12668.024659252624,14339.369394180889,12943.59748486407,13050.159335751232
12970.77457936774,13046.270013567366,13964.021851341104,13016.851412798502,13001.863390823279
13225.288551225269,13116.283676776828,14770.423527559687,13052.662607279814,13660.294754025443
13615.225492854259,13242.386381582302,14635.986532002285,13543.618377755123,13624.831003725034
13478.630915284444,13265.620806291285,14098.947798564906,13533.41373492826,13523.297863952412
13056.92294079531,13011.554033916234,13778.415011878522,13073.950071230385,13103.230055278607
13174.617061360863,13007.759098385242,14561.289644392311,13200.970218428112,13204.519021005479
13662.560799157787,13561.434748466227,14717.75421474565,13879.509883991957,13667.796896696847
13017.66934460024,13075.693840700003,14396.75498953023,13211.557567682517,13368.083434843422
13276.28256125916,13212.175838976833,15312.165875717055,14009.031688816833,14010.257097633053
13088.248204833386,13096.29307406866,13476.177806722375,13273.618494413216,13275.434160972438
12520.480098927028,12524.232800918599,13362.766754203787,12605.814384191137,12620.537603179902
12492.458430344786,12447.03035235049,13391.153266428353,12708.771502870373,12618.376185904512
12814.776512557508,12977.127511807781,14549.659862925615,13208.269942098786,12838.696392863605
13129.824145727753,13068.434180562046,13783.021682158114,13202.697324549707,13099.004041928576
12819.251822198126,12611.196497381563,14137.29101990981,12918.258501715494,12823.499407372678
12941.901484605778,12724.359276901228,13860.774109037104,13147.867888006836,13164.768248538743
13531.525521913247,12934.745814540724,14938.662736585979,13456.081867106574,13835.884100897005
13755.564574012187,13737.16648026662,14454.171819398565,13879.798456569784,13938.461792096508
13293.361779151774,13391.941072787371,14779.993411570194,13620.360569628056,13580.678202578616
13597.225847630269,13688.75083286719,14803.917390599385,13788.497626970931,13927.610811870201
13718.051081990803,13737.549542583558,14966.652248762055,13877.558687455214,13916.291043378855
13669.014082519081,13699.378743516261,14927.243315432817,13816.948631094725,13928.171867815643
13352.448028909912,13306.768339658422,14619.610393134984,13591.22912446514,13382.294529937042
13287.230663351324,13174.347604204271,13925.719469013726,13493.162249916471,13470.756787087948
13218.01169466808,13063.376453847222,13624.231226905049,13284.569702309114,13298.114197766567
13034.836279159375,12885.783318378548,13795.626662611869,13194.734695216745,13122.238472623125
12893.790889263923,12910.47732442236,13835.590119428403,12996.476158518473,12952.210046851054
13413.142605953984,13508.41199606291,14617.15328183926,13397.333919280869,13225.130831836934
13683.732315315097,13390.321595899277,14547.493626300415,13639.996739431064,13734.280170157905
13179.138530417335,13175.834189329333,13513.133190919776,13229.284840413198,13232.852687264023
12758.173844021836,12937.99262799659,14012.689951951583,12790.789338323319,12850.956120913757
13073.738701890212,13299.578023742997,14446.055865579103,13207.239845475671,13414.422423640277
12996.370835664837,13068.019117185804,13287.347084035075,13092.669332998435,13141.480295807196
12826.604387169607,12716.375159713769,14275.11427572777,12764.036288983973,12715.58699957887
12854.096652364526,12836.983624461758,13360.058269148252,12797.89705334953,12944.391130262611
12511.492033536315,12647.463636810502,13988.037078084957,12627.997090978572,12820.581028481669
12599.469160364575,12705.865921551793,13633.899276791602,12900.270341423078,12983.826448031692
12403.308364591923,12483.379916792981,13267.502214037051,12536.736072956191,12533.285213789413
12328.776709642163,12410.348843039732,13246.339560704972,12543.299302399675,12586.572970349207
12386.653748670897,12302.694249346896,13641.915414833631,12389.759906471923,12391.052116837558
12719.13481211942,12862.326262945367,14038.433125854348,12888.349433950678,13019.23228436194
12759.390392531644,12981.873708860334,13712.08699511992,13124.055062853502,13092.112276218833
12678.168728550514,12722.616525330022,13377.381065409549,12818.506127200397,12837.930861602117
12953.065295695107,12730.155927055335,13769.188616224319,12931.795489466618,12852.748493892734
12576.207212269503,12515.02012034699,13644.426942447075,12931.825873284155,12755.191476787344
13004.202426423524,12882.50426301291,14544.685340234528,13507.52974154205,13116.013898434101
13001.082516659006,12905.235468425586,13440.78677122221,13019.742383972063,13039.168780520435
12416.742634149141,12442.940400826514,13571.048655539425,12775.638445464134,12616.075486268552
12884.224170947458,12889.44729413071,14462.679778148153,13110.310045996219,13045.82840264074
13507.998364410294,13309.250994401138,14910.5152522903,13888.925517599993,13939.110759388146
13047.849185194607,13017.315274686258,14037.480906755653,13091.153473892755,13134.089310592006
13381.36432048292,13300.2859681296,14404.540529944485,13408.61020813275,13512.742183281103
13566.835375932618,13504.763348830182,14411.221084141003,13781.098714776299,13716.699511826213
13248.21913622514,13281.409989657286,13739.436980752454,13360.10463886416,13326.058119901358
12776.886284846141,12794.9061153261,13272.174467084751,12753.742740814672,12789.050341584853
12352.164131179352,12399.282188229654,12842.723763727217,12449.705596862834,12445.710177060639
12409.026085177637,12448.558675468414,13700.797141510508,12653.817864149938,12769.765023732218
13041.032071096863,12807.038292853824,14484.24595433885,13429.867479099135,13359.20201057
13687.120273140305,13124.756911439137,15149.608776562069,13283.653612011445,13714.9585609786
13766.885909814853,13367.322703138185,14940.032129571378,13467.207850328217,13783.761414895345
13348.744906535308,13276.086327004417,14188.760978992485,13374.36743872629,13358.129009644856
13074.066714244625,12898.328434860063,14118.705865842503,13159.990300246664,13224.070027034268
13167.829880216605,13051.408452582593,14500.326932492597,13300.154809866928,13149.69688007344
13633.232463334489,13440.26732503918,14460.455418311483,13658.412679625322,13816.771406992535
12983.900987853653,12932.007357058474,13893.83175867717,12970.9654741222,13150.541054487634
13082.120472807355,12995.449699394288,14282.018666429261,13130.034880725232,13234.085271827484
13483.318832974046,13565.880958719326,14773.974922219528,13649.001945140331,13594.101457891575
13358.052650002237,13372.735250666768,13798.59626717257,13431.218315315462,13404.702773027886
13052.504681124725,12914.84662575138,14091.376835843377,13117.520777235888,13093.834510852612
13265.933896666782,13117.615502097726,14183.98728194986,13323.810751504032,13393.461534120916
13123.200904028465,13168.54597305182,14284.987756732577,13196.676291997304,13198.071062664947
12659.718775152081,12735.159089114666,13232.81469848311,12715.515309662798,12802.69614255879
12219.352864626851,12434.535417553338,13843.070434554336,12395.382899286868,12208.93533298895
12605.763501786405,12523.380061945776,13756.891448109647,12912.67101658181,12557.637877112395
12568.456893440934,12498.412648837597,13396.30710562226,12540.031919611582,12539.252459842106
12589.73482112519,12472.469388105805,14065.08300453556,12806.378307868417,12660.534300537842
13263.583726790619,13427.791176615488,15014.590539068615,13234.467926384623,13626.043603047801
13536.03253014662,13432.752260259893,14458.209434399596,13580.320122904193,13737.585534899054
13567.328006392068,13390.722759200627,14181.928165019308,13605.055803923296,13702.448146903747
13100.316286399464,13030.13345525404,13720.942489529589,13168.733891372436,13136.320105277511
12739.856455000752,12676.37085315317,13120.115523602057,12743.205233366145,12692.373885607745
